id	strain	ok	call.rate
311	B6	0	0	NA
312	B6	0	0	NA
313	B6	0	0	NA
314	B6	0	0	NA
315	B6	0	0	NA
316	B6	0	0	NA
432	B6	0	0	NA
433	B6	0	0	NA
434	B6	0	0	NA
435	B6	0	0	NA
436	B6	0	0	NA
437	B6	0	0	NA
438	B6	0	0	NA
560	B6	0	0	NA
561	B6	0	0	NA
562	B6	0	0	NA
563	B6	0	0	NA
564	B6	0	0	NA
565	B6	0	0	NA
566	B6	0	0	NA
629	B6	0	0	NA
630	B6	0	0	NA
631	B6	0	0	NA
632	B6	0	0	NA
633	B6	0	0	NA
634	B6	0	0	NA
635	B6	0	0	NA
666	B6	0	0	NA
667	B6	0	0	NA
668	B6	0	0	NA
669	B6	0	0	NA
670	B6	0	0	NA
671	B6	0	0	NA
672	B6	0	0	NA
673	B6	0	0	NA
674	B6	0	0	NA
713	B6	0	0	NA
714	B6	0	0	NA
715	B6	0	0	NA
716	B6	0	0	NA
717	B6	0	0	NA
718	B6	0	0	NA
797	B6	0	0	NA
798	B6	0	0	NA
799	B6	0	0	NA
800	B6	0	0	NA
801	B6	0	0	NA
