id	strain	ok	call.rate	sex
247	B6.A-17 BC1	235	0.9711	M
153	B6.A-17 BC1	231	0.9545	F
133	B6.A-17 BC1	233	0.9628	M
453	B6.A-17 BC1	237	0.9793	F
804	B6.A-17 BC1	232	0.9587	F
360	B6.A-17 BC1	231	0.9545	F
596	B6.A-17 BC1	232	0.9587	M
576	B6.A-17 BC1	238	0.9835	M
759	B6.A-17 BC1	234	0.9669	F
725	B6.A-17 BC1	229	0.9463	F
210	B6.A-17 BC1	234	0.9669	F
742	B6.A-17 BC1	238	0.9835	M
136	B6.A-17 BC1	230	0.9504	F
301	B6.A-17 BC1	229	0.9463	F
476	B6.A-17 BC1	234	0.9669	F
778	B6.A-17 BC1	231	0.9545	F
199	B6.A-17 BC1	236	0.9752	M
579	B6.A-17 BC1	233	0.9628	F
239	B6.A-17 BC1	232	0.9587	F
523	B6.A-17 BC1	233	0.9628	F
243	B6.A-17 BC1	233	0.9628	F
739	B6.A-17 BC1	234	0.9669	M
687	B6.A-17 BC1	231	0.9545	F
269	B6.A-17 BC1	213	0.8802	F
157	B6.A-17 BC1	235	0.9711	M
219	B6.A-17 BC1	234	0.9669	F
729	B6.A-17 BC1	237	0.9793	M
215	B6.A-17 BC1	227	0.938	M
399	B6.A-17 BC1	233	0.9628	F
205	B6.A-17 BC1	229	0.9463	F
128	B6.A-17 BC1	234	0.9669	M
132	B6.A-17 BC1	233	0.9628	M
758	B6.A-17 BC1	234	0.9669	F
264	B6.A-17 BC1	235	0.9711	M
802	B6.A-17 BC1	185	0.7645	F
180	B6.A-17 BC1	232	0.9587	F
296	B6.A-17 BC1	236	0.9752	M
688	B6.A-17 BC1	232	0.9587	F
358	B6.A-17 BC1	235	0.9711	F
155	B6.A-17 BC1	235	0.9711	M
380	B6.A-17 BC1	233	0.9628	F
594	B6.A-17 BC1	232	0.9587	F
179	B6.A-17 BC1	234	0.9669	M
240	B6.A-17 BC1	234	0.9669	M
159	B6.A-17 BC1	233	0.9628	M
446	B6.A-17 BC1	234	0.9669	F
161	B6.A-17 BC1	230	0.9504	F
378	B6.A-17 BC1	178	0.7355	F
738	B6.A-17 BC1	237	0.9793	M
762	B6.A-17 BC1	230	0.9504	F
134	B6.A-17 BC1	231	0.9545	M
202	B6.A-17 BC1	234	0.9669	F
400	B6.A-17 BC1	232	0.9587	M
376	B6.A-17 BC1	232	0.9587	F
130	B6.A-17 BC1	234	0.9669	F
684	B6.A-17 BC1	233	0.9628	M
364	B6.A-17 BC1	233	0.9628	F
246	B6.A-17 BC1	237	0.9793	M
221	B6.A-17 BC1	230	0.9504	F
208	B6.A-17 BC1	231	0.9545	F
135	B6.A-17 BC1	235	0.9711	M
203	B6.A-17 BC1	168	0.6942	F
197	B6.A-17 BC1	197	0.814	F
526	B6.A-17 BC1	191	0.7893	F
359	B6.A-17 BC1	233	0.9628	F
686	B6.A-17 BC1	231	0.9545	F
728	B6.A-17 BC1	232	0.9587	M
244	B6.A-17 BC1	235	0.9711	M
183	B6.A-17 BC1	233	0.9628	M
300	B6.A-17 BC1	232	0.9587	F
302	B6.A-17 BC1	232	0.9587	M
141	B6.A-17 BC1	234	0.9669	F
206	B6.A-17 BC1	234	0.9669	M
211	B6.A-17 BC1	234	0.9669	F
217	B6.A-17 BC1	235	0.9711	F
365	B6.A-17 BC1	230	0.9504	F
448	B6.A-17 BC1	238	0.9835	M
449	B6.A-17 BC1	233	0.9628	F
470	B6.A-17 BC1	234	0.9669	F
740	B6.A-17 BC1	230	0.9504	F
760	B6.A-17 BC1	233	0.9628	M
775	B6.A-17 BC1	236	0.9752	M
779	B6.A-17 BC1	236	0.9752	M
